,start_time_utc,end_time_utc,electricity_consumption_(mwh),hour,day,month,year,day_of_week,day_of_year,week_of_year,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,is_weekend,is_working_hour,is_peak_morning,is_peak_evening,season,is_winter,is_spring,is_summer,is_fall,is_first_day,is_last_day,lag_1h,lag_2h,lag_3h,lag_6h,lag_12h,lag_24h,lag_48h,lag_168h,rolling_mean_3h,rolling_mean_6h,rolling_mean_12h,rolling_mean_24h,rolling_mean_72h,rolling_mean_168h,rolling_std_6h,rolling_std_12h,rolling_std_24h,rolling_min_12h,rolling_max_12h,rolling_min_24h,rolling_max_24h,rolling_range_24h,same_hour_7d_avg,prev_day_same_hour,prev_week_same_hour,diff_1h,diff_24h,diff_168h,pct_change_1h,pct_change_24h,hourly_avg_deviation,dow_avg_deviation,month_avg_deviation,cumsum_daily,season_hour,weekend_hour,consumption_log,consumption_sqrt
8474,2016-12-18 03:00:00,2016-12-18 04:00:00,9605,3,18,12,2016,6,353,50,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.20917350564635637,0.9778785428342386,1,0,0,0,0,1,0,0,0,0,0,9561.0,9612.0,9722.0,10823.0,11713.0,9990.0,10079.0,10380.0,9592.666666666666,9809.0,10538.083333333334,10777.875,11202.388888888889,11486.160714285714,317.10061494831353,835.8356143658337,688.0211897962662,9561.0,11744.0,9561.0,11744.0,2183.0,9745.42857142857,9990.0,10380.0,44.0,-385.0,-775.0,0.004602029075975104,-0.03853853853853854,623.232126696832,672.5004624124722,-1105.549050279329,38500,3,27,9.17014318222477,98.00510190801293
8475,2016-12-18 04:00:00,2016-12-18 05:00:00,9741,4,18,12,2016,6,353,50,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.20917350564635637,0.9778785428342386,1,0,0,0,0,1,0,0,0,0,0,9605.0,9561.0,9612.0,10380.0,11744.0,10308.0,10526.0,10424.0,9635.666666666666,9702.5,10371.166666666666,10754.25,11192.111111111111,11482.095238095239,150.52807047387952,770.5727307225715,714.0976215080499,9561.0,11706.0,9561.0,11744.0,2183.0,9919.57142857143,10308.0,10424.0,136.0,-567.0,-683.0,0.01415929203392407,-0.0550058207217695,295.8641919420552,808.5004624124722,-969.5490502793291,48241,4,28,9.184201714366488,98.69650449737316
8476,2016-12-18 05:00:00,2016-12-18 06:00:00,9839,5,18,12,2016,6,353,50,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.20917350564635637,0.9778785428342386,1,0,0,0,0,1,0,0,0,0,0,9741.0,9605.0,9561.0,9974.0,11706.0,10459.0,11440.0,10617.0,9728.333333333334,9680.0,10215.583333333334,10728.416666666666,11170.75,11477.464285714286,105.04856020235255,656.6134130844046,736.118133044608,9561.0,11374.0,9561.0,11744.0,2183.0,9952.714285714286,10459.0,10617.0,98.0,-620.0,-778.0,0.010060568729077037,-0.05927908977913759,136.88405797101404,906.5004624124722,-871.5490502793291,58080,5,29,9.1942109900463,99.1917335265394
8477,2016-12-18 06:00:00,2016-12-18 07:00:00,10142,6,18,12,2016,6,353,50,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.20917350564635637,0.9778785428342386,1,0,0,0,0,1,0,0,0,0,0,9839.0,9741.0,9605.0,9722.0,11374.0,10837.0,11951.0,10635.0,9907.333333333334,9750.0,10112.916666666666,10699.458333333334,11147.041666666666,11474.529761904761,217.92475765867763,546.0230528488369,745.2742698623242,9561.0,11039.0,9561.0,11744.0,2183.0,10176.285714285714,10837.0,10635.0,303.0,-695.0,-493.0,0.030795812579449557,-0.06413213989111377,283.8965517241377,1209.5004624124722,-568.5490502793291,68222,6,30,9.224539091375995,100.70749723828906
8478,2016-12-18 07:00:00,2016-12-18 08:00:00,10230,7,18,12,2016,6,353,50,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.20917350564635637,0.9778785428342386,1,0,0,0,0,1,0,0,0,0,0,10142.0,9839.0,9741.0,9612.0,10917.0,10960.0,12243.0,10931.0,10070.333333333334,9853.0,10055.666666666666,10669.041666666666,11120.888888888889,11470.357142857143,277.5456719183391,486.86199899001423,749.0655325813833,9561.0,11039.0,9561.0,11744.0,2183.0,10307.57142857143,10960.0,10931.0,88.0,-730.0,-701.0,0.008676789586996964,-0.0666058394160584,334.79380974055493,1297.5004624124722,-480.5490502793291,78452,7,31,9.23317760587894,101.14346246792226
8479,2016-12-18 08:00:00,2016-12-18 09:00:00,10349,8,18,12,2016,6,353,50,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.20917350564635637,0.9778785428342386,1,0,0,0,0,1,0,0,0,0,0,10230.0,10142.0,9839.0,9561.0,11039.0,10984.0,12173.0,11101.0,10240.333333333334,9984.333333333334,9998.166666666666,10642.583333333334,11098.75,11465.880952380952,297.46237857463694,391.59413899715537,748.6715142382994,9561.0,10823.0,9561.0,11744.0,2183.0,10510.285714285714,10984.0,11101.0,119.0,-635.0,-752.0,0.011632453566800345,-0.05781136198106337,438.5523334843674,1416.5004624124722,-361.5490502793291,88801,8,32,9.244741798693514,101.73003489628813
8480,2016-12-18 09:00:00,2016-12-18 10:00:00,10486,9,18,12,2016,6,353,50,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.20917350564635637,0.9778785428342386,1,0,0,0,0,1,0,0,0,0,0,10349.0,10230.0,10142.0,9605.0,10823.0,11020.0,12068.0,11207.0,10355.0,10131.166666666666,9970.083333333334,10620.333333333334,11081.486111111111,11461.589285714286,290.11543679593086,335.06755311649084,744.8927945431508,9561.0,10486.0,9561.0,11744.0,2183.0,10750.0,11020.0,11207.0,137.0,-534.0,-721.0,0.013237994007803846,-0.0484573502722323,575.5759637188203,1553.5004624124722,-224.5490502793291,99287,9,33,9.257891673834406,102.40117186829455
8481,2016-12-18 10:00:00,2016-12-18 11:00:00,10451,10,18,12,2016,6,353,50,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.20917350564635637,0.9778785428342386,1,0,0,0,0,1,0,0,0,0,0,10486.0,10349.0,10230.0,9741.0,10380.0,10992.0,12079.0,11441.0,10428.666666666666,10249.5,9976.0,10597.791666666666,11063.333333333334,11455.69642857143,239.53350496462411,343.48507973412256,741.3338143342377,9561.0,10486.0,9561.0,11744.0,2183.0,10755.0,10992.0,11441.0,-35.0,-541.0,-990.0,-0.0033377837112971787,-0.049217612809315865,598.5700045310368,1518.5004624124722,-259.5490502793291,109738,10,34,9.254548626640503,102.23013254417701
8482,2016-12-18 11:00:00,2016-12-18 12:00:00,10401,11,18,12,2016,6,353,50,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.20917350564635637,0.9778785428342386,1,0,0,0,0,1,0,0,0,0,0,10451.0,10486.0,10349.0,9839.0,9974.0,10951.0,11958.0,11487.0,10446.0,10343.166666666666,10011.583333333334,10574.875,11045.180555555555,11449.232142857143,133.17870200340744,364.7201812431176,738.4357917099157,9561.0,10486.0,9561.0,11744.0,2183.0,10706.0,10951.0,11487.0,-50.0,-550.0,-1086.0,-0.0047842311735925526,-0.050223723860834624,622.1964529331508,1468.5004624124722,-309.5490502793291,120139,11,35,9.249753374333018,101.98529305738157
8483,2016-12-18 12:00:00,2016-12-18 13:00:00,10462,12,18,12,2016,6,353,50,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.20917350564635637,0.9778785428342386,1,0,0,0,0,1,0,0,0,0,0,10401.0,10451.0,10486.0,10142.0,9722.0,11007.0,11887.0,11354.0,10438.0,10396.5,10073.25,10552.166666666666,11027.861111111111,11443.922619047618,95.15198369267047,373.75396014920926,732.9287091891094,9561.0,10486.0,9561.0,11744.0,2183.0,10718.57142857143,11007.0,11354.0,61.0,-545.0,-892.0,0.005864820689754368,-0.04951394567093668,717.99365942029,1529.5004624124722,-248.5490502793291,130601,12,36,9.255600503381046,102.2839185796086
